AREACD,P50
E01012860,105000
E01012863,154995
E01012864,68000
E01012859,75000
E01012865,97000
E01033110,128995
E01012866,85000
E01012867,68000
E01012871,92000
E01012869,75000
E01012870,82250
E01012868,82000
E01012872,93750
E01012880,80000
E01012881,69000
E01012878,70000
E01012879,
E01012874,90000
E01012873,77700
E01012876,63000
E01012877,
E01012875,
E01012882,127000
E01012883,142750
E01012886,142000
E01032595,112750
E01012887,100000
E01012888,55750
E01012884,105000
E01012893,73000
E01012891,58000
E01012892,75000
E01012889,59000
E01012898,69000
E01012897,
E01012895,
E01012894,127995
E01012896,110250
E01012900,63500
E01012903,69500
E01012899,88500
E01012901,107250
E01012902,110000
E01012905,
E01012904,169995
E01012908,80000
E01012911,155000
E01012909,111375
E01012907,118750
E01012912,118000
E01012906,87500
E01012910,108000
E01012915,84500
E01012917,95000
E01012916,112500
E01012918,92550
E01012913,102000
E01012914,113500
E01033105,148000
E01033106,143498
E01033107,155975
E01012922,230000
E01012919,347000
E01012925,210000
E01012927,185000
E01012923,146250
E01012926,185000
E01012920,245000
E01012924,183000
E01012921,223000
E01012933,163250
E01012934,151725
E01012930,144500
E01012928,97250
E01012931,108000
E01012932,92000
E01012929,120000
E01012937,154500
E01012939,202500
E01012940,165000
E01012942,189950
E01012935,191000
E01012936,163000
E01012938,137500
E01012941,140000
E01012946,105000
E01012952,133625
E01012945,132000
E01012943,108975
E01012947,162500
E01012948,107000
E01012949,122125
E01012950,195000
E01012951,153750
E01012944,103500
E01012953,169000
E01012957,122500
E01012956,263750
E01012958,185000
E01012955,189000
E01012954,290000
E01012964,130000
E01012961,214000
E01012963,120000
E01012959,122000
E01012962,235000
E01012960,212500
E01012970,279995
E01012973,181000
E01012969,166000
E01033496,198000
E01012972,199950
E01012974,151500
E01012965,276250
E01012966,185250
E01012968,233750
E01012967,180750
E01012981,178183
E01012979,124250
E01012978,189950
E01012980,116750
E01012982,160000
E01012983,148000
E01012975,151000
E01012977,165000
E01012976,135000
E01012992,181500
E01012987,235000
E01012986,147000
E01012988,164950
E01012990,185000
E01012989,175000
E01012984,186500
E01012991,202500
E01012985,156000
E01012998,150192
E01012997,81000
E01012996,172500
E01012995,120000
E01012993,137000
E01012994,128500
E01013003,157750
